epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,805.796,0.56601,0.41354,1.10567,0.84389,0.90124,0.94482,0.75231,0.87793,0.61023,1.58251,0.000321875,0.000321875,0.000321875
77,816.253,0.56286,0.42193,1.0968,0.88499,0.85861,0.94319,0.75285,0.88009,0.58713,1.59438,0.0003095,0.0003095,0.0003095
78,826.86,0.56787,0.41207,1.10901,0.89017,0.91681,0.96254,0.75739,0.91348,0.51907,1.61273,0.000297125,0.000297125,0.000297125
79,837.393,0.54604,0.39478,1.09853,0.90094,0.9061,0.95399,0.76124,0.88945,0.55116,1.59204,0.00028475,0.00028475,0.00028475
80,847.767,0.55592,0.40925,1.09541,0.86973,0.89712,0.9436,0.74397,0.88051,0.61744,1.57928,0.000272375,0.000272375,0.000272375
81,858.035,0.54191,0.40336,1.09665,0.88386,0.86986,0.95508,0.74315,0.90393,0.60782,1.63116,0.00026,0.00026,0.00026
82,868.541,0.53933,0.38951,1.09632,0.90089,0.8685,0.95789,0.74789,0.92681,0.60246,1.64088,0.000247625,0.000247625,0.000247625
83,879.263,0.55425,0.40685,1.10209,0.87284,0.85911,0.93552,0.73377,0.92188,0.69624,1.6548,0.00023525,0.00023525,0.00023525
84,889.688,0.53285,0.3922,1.09498,0.84949,0.89905,0.94889,0.74561,0.89552,0.57832,1.64603,0.000222875,0.000222875,0.000222875
85,900.09,0.52736,0.3936,1.0818,0.86313,0.91381,0.95738,0.74374,0.90431,0.52499,1.64647,0.0002105,0.0002105,0.0002105
86,910.49,0.51898,0.40425,1.07865,0.89964,0.86572,0.94855,0.75033,0.91268,0.58978,1.65336,0.000198125,0.000198125,0.000198125
87,920.903,0.53677,0.38822,1.0866,0.88931,0.89501,0.95767,0.75021,0.90203,0.55462,1.63829,0.00018575,0.00018575,0.00018575
88,931.235,0.52766,0.38824,1.08218,0.9007,0.89185,0.95595,0.74973,0.87894,0.5568,1.59627,0.000173375,0.000173375,0.000173375
89,941.601,0.52811,0.38048,1.07995,0.89887,0.90799,0.95486,0.74559,0.91738,0.60119,1.65311,0.000161,0.000161,0.000161
90,951.933,0.52647,0.38504,1.07969,0.86721,0.93431,0.96106,0.76016,0.88698,0.56758,1.6317,0.000148625,0.000148625,0.000148625
91,998.063,0.41192,0.30845,1.07332,0.88164,0.90424,0.94828,0.7556,0.89705,0.56433,1.6565,0.00013625,0.00013625,0.00013625
92,1008.74,0.39072,0.26279,1.05859,0.90393,0.90511,0.94453,0.74025,0.90789,0.59159,1.68393,0.000123875,0.000123875,0.000123875
93,1018.87,0.39419,0.27829,1.06311,0.87889,0.90585,0.94576,0.74325,0.90498,0.60865,1.66282,0.0001115,0.0001115,0.0001115
94,1028.94,0.37913,0.24324,1.04546,0.88615,0.89483,0.96058,0.76106,0.88933,0.53436,1.66749,9.9125e-05,9.9125e-05,9.9125e-05
95,1039.17,0.38172,0.24957,1.04946,0.89856,0.90547,0.9559,0.74312,0.90556,0.55268,1.6908,8.675e-05,8.675e-05,8.675e-05
96,1049.6,0.36356,0.24303,1.03345,0.91886,0.88549,0.96167,0.75314,0.8824,0.5444,1.65022,7.4375e-05,7.4375e-05,7.4375e-05
97,1059.84,0.3635,0.24262,1.03281,0.89639,0.92742,0.95939,0.74673,0.90165,0.53946,1.67661,6.2e-05,6.2e-05,6.2e-05
98,1070.09,0.36395,0.22538,1.03017,0.92919,0.88628,0.95961,0.74807,0.89754,0.53251,1.68779,4.9625e-05,4.9625e-05,4.9625e-05
99,1080.56,0.36031,0.23202,1.02125,0.87837,0.9301,0.96027,0.75845,0.88899,0.55789,1.67978,3.725e-05,3.725e-05,3.725e-05
100,1090.93,0.35176,0.23107,1.0173,0.87903,0.92972,0.95705,0.75199,0.8942,0.56714,1.6874,2.4875e-05,2.4875e-05,2.4875e-05
